index,account_length,total_day_charge,total_eve_minutes,total_night_charge,total_intl_charge,customer_service_calls,churn
0,128,45.07,197.4,11.01,2.7,1,0
1,107,27.47,195.5,11.45,3.7,1,0
2,137,41.38,121.2,7.32,3.29,0,0
3,84,50.9,61.9,8.86,1.78,2,0
4,75,28.34,148.3,8.41,2.73,3,0
5,118,37.98,220.6,9.18,1.7,0,0
6,121,37.09,348.5,9.57,2.03,3,0
7,147,26.69,103.1,9.53,1.92,0,0
8,117,31.37,351.6,9.71,2.35,1,0
9,141,43.96,222,14.69,3.02,0,0
10,65,21.95,228.5,9.4,3.43,4,1
11,74,31.91,163.4,8.82,2.46,0,0
12,168,21.9,104.9,6.35,3.02,1,0
13,95,26.62,247.6,8.65,3.32,3,0
14,62,20.52,307.2,9.14,3.54,4,0
15,161,56.59,317.8,7.23,1.46,4,1
16,85,33.39,280.9,4.02,3.73,1,0
17,93,32.42,218.2,5.83,2.19,3,0
18,76,32.25,212.8,7.46,2.7,1,0
19,73,38.15,159.5,8.68,3.51,1,0
20,147,26.37,239.7,9.4,2.86,0,0
21,77,10.61,169.9,9.43,1.54,5,1
22,130,31.11,72.9,8.18,2.57,0,0
23,111,18.77,137.3,8.53,2.08,2,0
24,132,13.79,245.2,10.67,2.78,0,0
25,174,21.13,277.1,11.28,4.19,3,0
26,57,36.21,191.1,8.22,2.57,0,0
27,54,22.83,155.5,4.59,3.97,3,0
28,20,32.3,258.2,8.17,1.7,0,0
29,49,20.28,215.1,8.04,3,1,0
30,142,14.42,136.7,11.27,3.83,2,0
31,75,38.44,201.5,11.08,2.78,1,0
32,172,36.04,31.2,13.2,3.4,3,0
33,12,42.43,252.4,12.61,3.19,1,1
34,57,30.06,195,9.61,2.24,0,0
35,72,37.4,217.3,6.88,3.97,3,0
36,36,24.87,162.5,5.82,3.92,0,0
37,78,22.24,223.7,10.25,2.7,1,0
38,136,34.66,187.6,4.58,2.84,3,0
39,149,23.87,271.8,8.47,3,1,0
40,98,21.47,166.8,8.45,2.54,3,0
41,135,29.43,203.9,5.5,3.94,0,1
42,34,21.22,282.2,14.02,2.7,2,0
43,160,14.59,165.3,8.03,2.48,3,0
44,64,26.18,225.8,11.94,0.95,1,0
45,59,20.55,213,7.34,2.3,2,0
46,65,35.92,162.6,6.06,3.56,3,0
47,142,31.79,134.6,10.9,2,2,0
48,119,27.05,231.3,6.44,2.38,5,1
49,97,22.64,217.2,3.18,2.97,1,0
50,52,32.62,269.8,10.66,2.11,3,0
51,60,37.5,211.1,11.21,1.84,1,0
52,10,31.64,190.2,12.73,3.08,2,0
53,96,27.23,267.5,10.28,2.51,2,0
54,87,25.67,219.7,9.18,2.62,5,1
55,81,29.84,249.3,12.16,2.75,1,0
56,141,21.57,180,6.34,2.16,1,0
57,121,33.73,75.3,8.15,1.57,3,1
58,68,25.3,246.5,5.84,3.27,3,0
59,125,38.98,177.4,8.52,3.24,1,0
60,174,32.66,169.9,7.5,3.08,1,0
61,116,45.66,178.2,7.48,3.13,2,0
62,74,32.93,246.1,6.21,3.94,2,0
63,149,30.72,187.8,11.95,3.4,3,0
64,38,22.3,162.9,7.15,2.21,2,0
65,40,25.18,169.5,9.63,1.67,2,0
66,43,42.76,212.8,7.1,2.51,0,0
67,113,21.28,206.4,5.82,2.24,0,0
68,126,35.97,216.9,6.91,2.11,1,0
69,150,30.41,169.1,6.69,3.73,4,1
70,138,41.11,170.5,13.29,3.19,3,0
71,162,38.23,188.2,11.46,3.27,0,0
72,147,42.26,148.9,7.76,2.16,3,0
73,90,34.58,226.7,6.86,1.97,1,0
74,85,40.09,157.2,8.47,3.24,0,0
75,50,26.71,223.3,8.16,1.65,1,0
76,82,51.05,181,12.15,3.16,0,1
77,144,10.47,77.1,7.79,2.21,4,1
78,46,36.4,164.4,7.99,2.21,2,0
79,70,28.93,155.2,10.29,4.05,1,0
80,144,34.19,303.5,10.08,3.56,1,0
81,116,36.62,204.8,12.53,3.4,3,0
82,55,28.15,136.1,7.91,2.97,3,0
83,70,42.42,259.7,10.02,2.65,1,0
84,106,35.8,249.2,8.61,3.35,2,1
85,128,30.48,225.9,14.54,2.32,0,0
86,94,26.84,155,8.53,2.16,4,1
87,111,36.43,208.5,8.21,3.24,1,0
88,74,26.2,123.4,9.09,2.94,2,0
89,128,40.44,247.6,9.4,3.75,1,1
90,82,24.46,194.9,4.93,3,1,0
91,155,34.58,190.9,8.82,2.4,0,1
92,80,21.13,173,11.39,2.13,1,0
93,78,42.99,178.4,11.88,2.57,3,0
94,90,30.45,190.6,5.75,2.86,3,0
95,104,47.33,81,7.34,2.65,1,0
96,73,27.22,213.3,7.83,3.51,0,0
97,99,33.69,207.3,8.59,2.35,4,0
98,120,36.06,209.4,7.52,1.43,1,1
99,77,42.81,205.7,12.38,2.65,2,1
100,98,27.4,252.2,7.21,1.19,4,0
101,108,30.31,189,5.81,3.94,0,0
102,135,25.79,119,8.1,2.84,0,0
103,95,22.95,183.6,11.04,3.38,1,0
104,122,28.99,173.7,11.19,3.05,1,0
105,95,40.48,187.2,8.55,3.19,4,0
106,36,47.84,202.2,8.42,2.43,2,0
107,93,20.04,164.5,9.76,2.65,1,0
108,141,25.26,131.1,9.87,2.73,1,0
109,157,39.07,147.9,10.86,2.59,3,0
110,120,28.05,317.2,5.36,2.24,1,0
111,103,31.45,223.3,10.03,3.4,2,0
112,98,27.37,190.9,10.25,3.27,4,0
113,125,21.54,206,11.15,3.59,1,0
114,63,10.01,169.6,9.51,2.54,1,0
115,36,33.46,254.9,6.22,5.4,0,1
116,64,27.64,152.3,2.59,3.83,1,0
117,74,48.03,219.9,7.65,2.54,1,1
118,112,19.33,157.5,7.99,2.7,2,0
119,97,40.77,214.8,6.45,2.35,2,0
120,46,35.73,227.3,9,3.54,1,0
121,41,36.35,141.8,6.4,1.94,0,0
122,121,32.42,183.5,9.94,2.65,3,0
123,193,29.05,132.3,5.08,3.13,1,0
124,130,26.21,110.2,10.23,2.48,2,0
125,85,34.24,229.4,11.36,3.24,1,0
126,162,12.02,157.5,6.97,2.46,4,1
127,61,31.88,146.6,10.16,1.73,4,1
128,92,15.59,193.7,7.88,2.48,2,0
129,131,36.41,161.7,11.91,2.57,3,0
130,90,24.74,217.7,6.61,2.94,3,0
131,75,28.27,158.2,11.55,1.65,1,0
132,78,39.27,230.4,11.76,2.57,1,0
133,82,34.05,201.2,9.27,1.92,4,0
